Id,Nombre,Name
880,"Nabo, pelado, crudo","Turnip, peeled, raw"
1062,"Napolitana, rellena con crema de cacao","Flaky pastry, filled with chocolate cream"
2235,Naranja,Orange
2555,Nata montada,Whipped cream
923,"Nata, líquida, para cocinar, 18% de grasa","Cream, 18 % fat, uht"
2497,Natillas sabor vainilla,"Custard, vainilla flavored"
2350,Nécora,Velvet crab
1106,"Néctar de albaricoque, envasado",Apricot nectar
1027,Néctar de ciruela,Plum nectar
1057,"Néctar de frutas exóticas, envasado",Tropical fruit nectar
1061,"Néctar de mango, envasado",Mango nectar
1105,"Néctar de maracuyá, envasado",Maracuya nectar
1104,Néctar de melocotón,Peach nectar
1103,"Néctar de naranja, envasado",Orange nectar
1101,"Néctar de pera, envasado",Pear nectar
1100,Néctar de piña,Pineapple nectar
1099,Néctar de pomelo,Grapefruit nectar
2236,Nectarina,Nectarine
881,"Níscalo, crudo","Milk cap, raw"
956,"Níspero, con piel, crudo","Medlar, with skin, raw"
2237,"Nispero, conserva en su jugo","Medlar, canned in juice"
2238,"Nispero, sin piel , congelado","Medlar, withouth skin, frozen"
2201,Nuez,Walnut
2599,Nuez moscada,Nutmeg
2202,"Nuez, cruda, con cáscara","Walnut, raw, in shell"
