Id,Nombre,Name
2520,Yogur griego,Strained yogurt
2521,"Yogur líquido, ""tipo actimel""","Yoghurt liquid, ""type actimel"""
950,"Yogur líquido, aromatizado sabor s/e","Drinking yogurt, flavoured n/e"
1160,"Yogur líquido, con frutas s/e","Yogurt, liquid, whole milk, with fruits"
952,"Yogur líquido, entero, con cereales","Liquid yogurt, whole milk, with cereals"
1133,"Yogur líquido, natural, azucarado","Drinking yogurt, plain, sweetened"
953,"Yogur, búlgaro","Yogurt, bulgarian-style"
2532,"Yogur, desnatado, aromatizado sabor s/e","Yogurt , skimmed, flavoured n/e"
955,"Yogur, desnatado, con cereales","Yogurt, skimmed, with cereals"
2524,"Yogur, desnatado, con cereales, manzana y ciruela","Yogurt, skimmed, with cereals, apple and plum"
1135,"Yogur, desnatado, con cereza y frambuesa","Yogurt, skimmed, with cherry and raspberry"
2525,"Yogur, desnatado, con ciruela, albaricoque y fibra","Yogurt, skimmed, with plum, apricot and fiber"
2526,"Yogur, desnatado, con fresa, grosella y fibra","Yogurt, skimmed, with strawberry, redcurrant and fiber"
2527,"Yogur, desnatado, con frutas","Yogurt, skimmed, with fruits"
1137,"Yogur, desnatado, con frutas del bosque","Yogurt, skimmed, with fruits of the forest"
1140,"Yogur, desnatado, con frutas tropicales","Yogurt, skimmed, with tropical fruits"
1141,"Yogur, desnatado, con manzana","Yogurt, skimmed, with apple"
1144,"Yogur, desnatado, con melocotón y maracuyá","Yogurt, skimmed, with peach and yellow passion fruit"
2528,"Yogur, desnatado, con melocotón, frambuesa y fibra","Yogurt, skimmed, with peach, raspberry and fiber"
1149,"Yogur, desnatado, con piña y pomelo","Yogurt, skimmed, with pineapple and grapefruit"
2530,"Yogur, desnatado, sabor natural","Yogurt, skimmed, plain flavour"
2531,"Yogur, desnatado, sabor natural, azucarado","Yogurt, skimmed, plain flavour, sweetened"
1158,"Yogur, desnatado, sabor vainilla","Yogurt, skimmed, vanilla flavour"
1131,"Yogur, enriquecido, con frutas","Yogurt, enriched, with fruits"
1143,"Yogur, enriquecido, natural","Yogurt, enriched, plain"
1145,"Yogur, enriquecido, natural, azucarado","Yogurt, enriched, plain, sweetened"
1130,"Yogur, enriquecido, natural, con nata","Yogurt, enriched, plain, with cream"
1150,"Yogur, enriquecido, sabor, s/e","Yogurt, enriched, unspecified flavour"
2533,"Yogur, entero, con cereales y fresas","Yogurt, whole milk, with cereals and strawberry"
1159,"Yogur, entero, con fresas","Yogurt, whole milk, with strawberry"
2534,"Yogur, entero, con frutas del bosque","Yogurt, whole milk, with fruits of the forest"
1155,"Yogur, líquido, desnatado, natural","Drinking yogurt, skimmed, plain"
2535,"Yogur, líquido, entero, con fresas","Drinking yogurt, whole milk, with strawberry"
2536,"Yogur, líquido, entero, con frutas","Drinking yogurt, whole milk, with fruits"
2537,"Yogur, líquido, entero, sabor fresa","Drinking yogurt, whole milk, strawberry flavoured"
2538,"Yogur, líquido, entero, sabor fresa y plátano","Drinking yogurt, whole milk, strawberry and banana flavoured"
2539,"Yogur, líquido, entero, sabor frutas del bosque","Drinking yogurt, whole milk, fruits of the forest flavoured"
2540,"Yogur, líquido, entero, sabor piña y coco","Drinking yogurt, whole milk, pineapple and coconut flavoured"
